"","Symbol","Name","LastSale","MarketCap","IPOyear","Sector","Industry"
"33","GOOG","Alphabet Inc.","736.1","506672180488.7","2004","Technology","Computer Software: Programming, Data Processing"
"34","GOOGL","Alphabet Inc.","757.54","521429756293.18","2004","Technology","Computer Software: Programming, Data Processing"
"48","AAPL","Apple Inc.","109.02","604000000000","1980","Technology","Computer Manufacturing"
"211","FB","Facebook, Inc.","108.99","310216109079.24","2012","Technology","Computer Software: Programming, Data Processing"
"365","MSFT","Microsoft Corporation","54.31","429554233655.94","1986","Technology","Computer Software: Prepackaged Software"
