"","Symbol","Name","LastSale","MarketCap","IPOyear","Sector","Industry"
"121","BAC","Bank of America Corporation","dec.97","133923434290.49","1986","Finance","Major Banks"
"227","C","Citigroup Inc.","41.12","121226700691.36","1977","Finance","Major Banks"
"493","HSBC","HSBC Holdings plc","29.86","117559398865.96","2000","Finance","Savings Institutions"
"532","JPM","J P Morgan Chase & Co","58.2","213609417005.4","1983","Finance","Major Banks"
"993","WFC","Wells Fargo & Company","47.03","238757784030.91","2013","Finance","Major Banks"
