Symbol;Name;LastSale;MarketCap;ADR TSO;IPOyear;Sector;Industry;Summary Quote
VECO;Veeco Instruments Inc.;18.81;751873903.11;n/a;1994;Technology;Industrial Machinery/Components;http://www.nasdaq.com/symbol/veco
VEEV;Veeva Systems Inc.;25.44;3412849547.04;n/a;2013;Technology;Computer Software: Prepackaged Software;http://www.nasdaq.com/symbol/veev
VRNT;Verint Systems Inc.;34.04;2119549447.4;n/a;2002;Technology;EDP Services;http://www.nasdaq.com/symbol/vrnt
VRSN;VeriSign, Inc.;89.08;9751458166.76;n/a;1998;Technology;EDP Services;http://www.nasdaq.com/symbol/vrsn
VRSK;Verisk Analytics, Inc.;76.84;12911768136.92;n/a;2009;Technology;EDP Services;http://www.nasdaq.com/symbol/vrsk
VSAT;ViaSat, Inc.;71.96;3516772631.4;n/a;1996;Technology;Radio And Television Broadcasting And Communications Equipment;http://www.nasdaq.com/symbol/vsat
VIAV;Viavi Solutions Inc.;jun.76;1566527558.96;n/a;n/a;Technology;Semiconductors;http://www.nasdaq.com/symbol/viav
VMEM;Violin Memory, Inc.;0.4404;436.741.346.172;n/a;2013;Technology;Electronic Components;http://www.nasdaq.com/symbol/vmem
VRTU;Virtusa Corporation;36.17;1078289297.51;n/a;2007;Technology;EDP Services;http://www.nasdaq.com/symbol/vrtu
VISN;VisionChina Media, Inc.;99.599;394.663.228.678;3962522;2007;Technology;Advertising;http://www.nasdaq.com/symbol/visn
VMW;Vmware, Inc.;51.19;21683689683.43;n/a;2007;Technology;Computer Software: Prepackaged Software;http://www.nasdaq.com/symbol/vmw
VISI;Volt Information Sciences, Inc.;jul.46;155395552.38;n/a;n/a;Technology;Professional Services;http://www.nasdaq.com/symbol/visi
VUZI;Vuzix Corporation;maj.33;85802078.83;n/a;n/a;Technology;Radio And Television Broadcasting And Communications Equipment;http://www.nasdaq.com/symbol/vuzi
WSTG;Wayside Technology Group, Inc.;16.82;81306231.64;n/a;n/a;Technology;Retail: Computer Software & Peripheral Equipment;http://www.nasdaq.com/symbol/wstg
WEB;Web.com Group, Inc.;18.63;935828848.17;n/a;n/a;Technology;Computer Software: Prepackaged Software;http://www.nasdaq.com/symbol/web
WB;Weibo Corporation;21.feb;1001721539.2;47251016;2014;Technology;Computer Software: Programming, Data Processing;http://www.nasdaq.com/symbol/wb
WDC;Western Digital Corporation;44.23;10295423778.73;n/a;n/a;Technology;Electronic Components;http://www.nasdaq.com/symbol/wdc
WYY;WidePoint Corporation;0.7;57764487.2;n/a;n/a;Technology;EDP Services;http://www.nasdaq.com/symbol/wyy
WIT;Wipro Limited;dec.39;30402111378.24;n/a;n/a;Technology;EDP Services;http://www.nasdaq.com/symbol/wit
WIX;Wix.com Ltd.;20.93;830801845.51;n/a;2013;Technology;Computer Software: Programming, Data Processing;http://www.nasdaq.com/symbol/wix
WDAY;Workday, Inc.;77.03;15020850000;n/a;2012;Technology;EDP Services;http://www.nasdaq.com/symbol/wday
WK;Workiva Inc.;nov.92;487884682.16;n/a;2014;Technology;Computer Software: Prepackaged Software;http://www.nasdaq.com/symbol/wk
WOWO;Wowo Limited;mar.93;35951266.65;9147905;2015;Technology;EDP Services;http://www.nasdaq.com/symbol/wowo
WPPGY;WPP plc;116.51;1824845797.68;15662568;n/a;Technology;Advertising;http://www.nasdaq.com/symbol/wppgy
WSCI;WSI Industries Inc.;3;8758500;n/a;n/a;Technology;Industrial Machinery/Components;http://www.nasdaq.com/symbol/wsci
XTLY;Xactly Corporation;jul.35;214505795.7;n/a;2015;Technology;Computer Software: Prepackaged Software;http://www.nasdaq.com/symbol/xtly
XLNX;Xilinx, Inc.;46.21;11808500257.72;n/a;1990;Technology;Semiconductors;http://www.nasdaq.com/symbol/xlnx
XPLR;Xplore Technologies Corp;mar.22;35124903.1;n/a;n/a;Technology;Computer Manufacturing;http://www.nasdaq.com/symbol/xplr
XNET;Xunlei Limited;jun.88;183816599.52;26717529;2014;Technology;Computer Software: Prepackaged Software;http://www.nasdaq.com/symbol/xnet
YHOO;Yahoo! Inc.;36.48;34539685234.56;n/a;1996;Technology;EDP Services;http://www.nasdaq.com/symbol/yhoo
YNDX;Yandex N.V.;15.68;6699314041.28;n/a;2011;Technology;Computer Software: Programming, Data Processing;http://www.nasdaq.com/symbol/yndx
YGE;Yingli Green Energy Holding Company Limited;apr.92;8942778.96;n/a;2007;Technology;Semiconductors;http://www.nasdaq.com/symbol/yge
YUME;YuMe, Inc.;mar.61;125669590.81;n/a;2013;Technology;Advertising;http://www.nasdaq.com/symbol/yume
YY;YY Inc.;63.3;2394715213.2;37831204;2012;Technology;EDP Services;http://www.nasdaq.com/symbol/yy
ZBRA;Zebra Technologies Corporation;65.95;3439239410.25;n/a;1991;Technology;Industrial Machinery/Components;http://www.nasdaq.com/symbol/zbra
ZEN;Zendesk, Inc.;21.jan;1901559444.51;n/a;2014;Technology;EDP Services;http://www.nasdaq.com/symbol/zen
ZPIN;Zhaopin Limited;15.88;991564429.8;n/a;2014;Technology;Professional Services;http://www.nasdaq.com/symbol/zpin
ZIXI;Zix Corporation;mar.78;212278880.52;n/a;n/a;Technology;EDP Services;http://www.nasdaq.com/symbol/zixi
ZNGA;Zynga Inc.;feb.34;2019313941.84;n/a;2011;Technology;EDP Services;http://www.nasdaq.com/symbol/znga
