"","date2","sel_tickers","am"
"1","2015-01-05"," MSFT",999.1374
"2","2015-01-06"," CVX",1000.61932059168
"3","2015-01-07"," PTR",1014.15219659302
"4","2015-01-08"," AAPL",1038.84903371489
"5","2015-01-09"," HSBC",1040.21834062623
"6","2015-01-12"," TOT",1038.28967180088
"7","2015-01-13"," GOOGL",1036.69880436575
"8","2015-01-14"," GOOG",1049.73487715112
"9","2015-01-15"," TOT",1055.55712667375
"10","2015-01-16"," TOT",1084.52900312957
"11","2015-01-20"," CVX",1104.34020288264
"12","2015-01-21"," GOOG",1127.83128594228
"13","2015-01-22"," BAC",1166.99714465981
"14","2015-01-23"," GOOG",1176.49720161562
"15","2015-01-26"," TOT",1195.08538680227
"16","2015-01-27"," TOT",1209.8957214753
"17","2015-01-28"," FB",1199.51167045616
"18","2015-01-29"," MSFT",1231.16258514865
"19","2015-01-30"," GOOG",1275.69705999246
"20","2015-02-02"," CVX",1301.21584884114
"21","2015-02-03"," PTR",1326.52280552049
"22","2015-02-04"," AAPL",1338.38868466815
"23","2015-02-05"," GE",1352.186535135
"24","2015-02-06"," BAC",1367.94829748181
"25","2015-02-09"," AAPL",1381.44885281931
"26","2015-02-10"," AAPL",1402.7159816187
"27","2015-02-11"," FB",1429.24232273229
"28","2015-02-12"," C",1456.43051358916
"29","2015-02-13"," CVX",1475.13457681688
"30","2015-02-17"," C",1496.55943141057
"31","2015-02-18"," FB",1511.73379576536
"32","2015-02-19"," FB",1559.4478936942
"33","2015-02-20"," TOT",1589.2004441132
"34","2015-02-23"," AAPL",1625.62412369206
"35","2015-02-24"," GOOGL",1647.33791023704
"36","2015-02-25"," GE",1677.11288402941
"37","2015-02-26"," GOOGL",1718.75341669311
"38","2015-02-27"," PTR",1739.38034832218
"39","2015-03-02"," C",1774.88475393017
"40","2015-03-03"," TOT",1797.57026592405
"41","2015-03-04"," FB",1833.83894239447
"42","2015-03-05"," GE",1848.15462271438
"43","2015-03-06"," BAC",1873.56656396124
"44","2015-03-09"," MSFT",1902.87570250457
"45","2015-03-10"," XOM",1890.31253654149
"46","2015-03-11"," C",1916.3126512941
"47","2015-03-12","WFC",1953.92182012586
"48","2015-03-13"," MSFT",1986.5671643278
"49","2015-03-16"," CVX",2019.6633732855
"50","2015-03-17"," FB",2045.43750939002
"51","2015-03-18"," CVX",2126.9678303393
"52","2015-03-19"," FB",2169.70648383179
"53","2015-03-20"," CVX",2205.5626192423
"54","2015-03-23"," FB",2218.96626439196
"55","2015-03-24"," GOOGL",2254.09250035728
"56","2015-03-25"," CVX",2275.84494380423
"57","2015-03-26"," AAPL",2303.28253044674
"58","2015-03-27"," TOT",2334.51964812465
"59","2015-03-30"," AAPL",2378.18006803585
"60","2015-03-31"," PTR",2400.6300878781
"61","2015-04-01"," PTR",2431.02878655489
"62","2015-04-02"," CVX",2450.34671370437
"63","2015-04-06"," MSFT",2523.84486338193
"64","2015-04-07"," CVX",2560.88733444179
"65","2015-04-08"," BAC",2577.3986555306
"66","2015-04-09"," GE",2643.14345591561
"67","2015-04-10"," GE",2777.5901195729
"68","2015-04-13"," FB",2814.20431252911
"69","2015-04-14"," XOM",2848.06678876048
"70","2015-04-15"," JPM",2899.0862027943
"71","2015-04-16"," PTR",2929.37440589799
"72","2015-04-17"," PTR",2952.42096609895
"73","2015-04-20"," MSFT",3035.90657375733
"74","2015-04-21"," HSBC",3029.92644498834
"75","2015-04-22"," AAPL",3068.81736886564
"76","2015-04-23"," GOOGL",3108.12492989823
"77","2015-04-24"," MSFT",3258.56190625522
"78","2015-04-27"," MSFT",3313.75673124813
"79","2015-04-28"," MSFT",3409.46597866273
"80","2015-04-29"," BAC",3492.51716043698
"81","2015-04-30"," PTR",3506.11527600114
"82","2015-05-01"," AAPL",3585.35733796557
"83","2015-05-04"," BAC",3652.000167485
"84","2015-05-05","WFC",3651.34499865496
"85","2015-05-06"," FB",3657.43288617121
"86","2015-05-07"," C",3707.50606832921
"87","2015-05-08","WFC",3766.6433853733
"88","2015-05-11"," JPM",3777.60959092548
"89","2015-05-12"," PTR",3829.62803051444
"90","2015-05-13"," FB",3865.10570458913
"91","2015-05-14"," FB",3984.08486698292
"92","2015-05-15"," TOT",4044.5070996671
"93","2015-05-18"," AAPL",4101.52939191318
"94","2015-05-19"," BAC",4146.0305756625
"95","2015-05-20"," GE",4191.52455456618
"96","2015-05-21"," GOOGL",4241.88069225983
"97","2015-05-22"," AAPL",4272.1795976685
"98","2015-05-26"," GE",4272.1795976685
"99","2015-05-27"," TOT",4346.33181894524
"100","2015-05-28"," GE",4366.87779871975
"101","2015-05-29"," XOM",4372.00931682103
"102","2015-06-01"," FB",4426.59035553409
"103","2015-06-02"," BAC",4480.18087167336
"104","2015-06-03"," BAC",4550.05780471076
"105","2015-06-04"," JPM",4551.43055715044
"106","2015-06-05"," TOT",4614.11968592936
"107","2015-06-08"," XOM",4650.84392592164
"108","2015-06-09"," BAC",4721.76604020119
"109","2015-06-10"," MSFT",4806.32248209591
"110","2015-06-11"," JPM",4817.57167986525
"111","2015-06-12"," HSBC",4840.01241050723
"112","2015-06-15"," TOT",4897.15069301824
"113","2015-06-16"," MSFT",4948.98409481342
"114","2015-06-17"," MSFT",4974.95735313982
"115","2015-06-18"," FB",5052.34878471673
"116","2015-06-19"," XOM",5069.60255581654
"117","2015-06-22"," FB",5150.4388894498
"118","2015-06-23"," FB",5327.45483868519
"119","2015-06-24"," FB",5400.38343346292
"120","2015-06-25"," GOOGL",5377.73368530463
"121","2015-06-26"," CVX",5397.44039039443
"122","2015-06-29"," XOM",5382.49217923323
"123","2015-06-30"," AAPL",5376.49123870261
"124","2015-07-01"," HSBC",5395.80950937239
"125","2015-07-02"," GOOGL",5421.56370816062
"126","2015-07-06"," FB",5488.0093086551
"127","2015-07-07"," TOT",5577.20757035146
"128","2015-07-08"," TOT",5561.7481086872
"129","2015-07-09"," C",5548.31871170397
"130","2015-07-10"," AAPL",5609.28918602688
"131","2015-07-13"," GOOG",5753.18428151603
"132","2015-07-14"," GOOG",5904.07419630421
"133","2015-07-15"," AAPL",5955.73248389219
"134","2015-07-16"," GOOG",6110.96984223134
"135","2015-07-17"," GOOG",6336.29413335108
