"","Symbol","Name","LastSale","MarketCap","IPOyear","Sector","Industry"
"52","CVX","Chevron Corporation","95.24","179351805535.8","1970","Energy","Integrated oil Companies"
"115","XOM","Exxon Mobil Corporation","83.32","346007680661.88","1970","Energy","Integrated oil Companies"
"123","GE","General Electric Company","30.71","286542951104.3","1962","Energy","Consumer Electronics/Appliances"
"223","PTR","PetroChina Company Limited","63.86","116877196423.08","2000","Energy","Oil & Gas Production"
"286","TOT","TotalFinaElf, S.A.","45.6","111266639464.8","1991","Energy","Oil & Gas Production"
