"","id"," AAPL.Open"," AAPL.High"," AAPL.Low"," AAPL.Close"," AAPL.Volume"," AAPL.Adjusted"
"2015-01-02",357,111.389999,111.440002,107.349998,109.330002,53204600,106.271212
"2015-01-05",358,108.290001,108.650002,105.410004,106.25,64285500,103.277382
"2015-01-06",359,106.540001,107.43,104.629997,106.260002,65797100,103.287104
"2015-01-07",360,107.199997,108.199997,106.699997,107.75,40105900,104.735415
"2015-01-08",361,109.230003,112.150002,108.699997,111.889999,59364500,108.759587
"2015-01-09",362,112.669998,113.25,110.209999,112.010002,53699500,108.876233
"2015-01-12",363,112.599998,112.629997,108.800003,109.25,49650800,106.193449
"2015-01-13",364,111.43,112.800003,108.910004,110.220001,67091900,107.136312
"2015-01-14",365,109.040001,110.489998,108.5,109.800003,48337000,106.728064
"2015-01-15",366,110,110.059998,106.660004,106.82,60014000,103.831434
"2015-01-16",367,107.029999,107.580002,105.199997,105.989998,78513300,103.024654
"2015-01-20",368,107.839996,108.970001,106.5,108.720001,49899900,105.678278
"2015-01-21",369,108.949997,111.059998,108.269997,109.550003,48575900,106.485058
"2015-01-22",370,110.260002,112.470001,109.720001,112.400002,53796400,109.255321
"2015-01-23",371,112.300003,113.75,111.529999,112.980003,46464800,109.819096
"2015-01-26",372,113.739998,114.360001,112.800003,113.099998,55615000,109.935734
"2015-01-27",373,112.419998,112.480003,109.029999,109.139999,95568700,106.086526
"2015-01-28",374,117.629997,118.120003,115.309998,115.309998,146477100,112.083902
"2015-01-29",375,116.32,119.190002,115.559998,118.900002,84436400,115.573467
"2015-01-30",376,118.400002,120,116.849998,117.160004,83745500,113.88215
"2015-02-02",377,118.050003,119.169998,116.080002,118.629997,62739100,115.311016
"2015-02-03",378,118.5,119.089996,117.610001,118.650002,51915700,115.330461
"2015-02-04",379,118.5,120.510002,118.309998,119.559998,70149700,116.214997
"2015-02-05",380,120.019997,120.230003,119.25,119.940002,42246200,117.044479
"2015-02-06",381,120.019997,120.25,118.449997,118.93,43706600,116.05886
"2015-02-09",382,118.550003,119.839996,118.43,119.720001,38889800,116.829789
"2015-02-10",383,120.169998,122.150002,120.160004,122.019997,62008500,119.074259
"2015-02-11",384,122.769997,124.919998,122.5,124.879997,73561800,121.865215
"2015-02-12",385,126.059998,127.480003,125.57,126.459999,74474500,123.407074
"2015-02-13",386,127.279999,127.279999,125.650002,127.080002,54272200,124.012109
"2015-02-17",387,127.489998,128.880005,126.919998,127.830002,63152400,124.744003
"2015-02-18",388,127.629997,128.779999,127.449997,128.720001,44891700,125.612516
"2015-02-19",389,128.479996,129.029999,128.330002,128.449997,37362400,125.34903
"2015-02-20",390,128.619995,129.5,128.050003,129.5,48948400,126.373685
"2015-02-23",391,130.020004,133,129.660004,133,70974100,129.78919
"2015-02-24",392,132.940002,133.600006,131.169998,132.169998,69228100,128.979225
"2015-02-25",393,131.559998,131.600006,128.149994,128.789993,74711700,125.680819
"2015-02-26",394,128.789993,130.869995,126.610001,130.419998,91287500,127.271473
"2015-02-27",395,130,130.570007,128.240005,128.460007,62014800,125.358798
"2015-03-02",396,129.25,130.279999,128.300003,129.089996,48096700,125.973579
"2015-03-03",397,128.960007,129.520004,128.089996,129.360001,37816300,126.237065
"2015-03-04",398,129.100006,129.559998,128.320007,128.539993,31666300,125.436854
"2015-03-05",399,128.580002,128.75,125.760002,126.410004,56517100,123.358285
"2015-03-06",400,128.399994,129.369995,126.260002,126.599998,72842100,123.543693
"2015-03-09",401,127.959999,129.570007,125.059998,127.139999,88528500,124.070658
"2015-03-10",402,126.410004,127.220001,123.800003,124.510002,68856600,121.504153
"2015-03-11",403,124.75,124.769997,122.110001,122.239998,68939000,119.288949
"2015-03-12",404,122.309998,124.900002,121.629997,124.449997,48362700,121.445596
"2015-03-13",405,124.400002,125.400002,122.580002,123.589996,51827300,120.606357
"2015-03-16",406,123.879997,124.949997,122.870003,124.949997,35874300,121.933525
"2015-03-17",407,125.900002,127.32,125.650002,127.040001,51023100,123.973074
"2015-03-18",408,127,129.160004,126.370003,128.470001,65270900,125.368552
"2015-03-19",409,128.75,129.25,127.400002,127.5,45809500,124.421968
"2015-03-20",410,128.25,128.399994,125.160004,125.900002,68695100,122.860595
"2015-03-23",411,127.120003,127.849998,126.519997,127.209999,37709700,124.138968
"2015-03-24",412,127.230003,128.039993,126.559998,126.690002,32842300,123.631525
"2015-03-25",413,126.540001,126.82,123.379997,123.379997,51655200,120.401428
"2015-03-26",414,122.760002,124.879997,122.599998,124.239998,47572900,121.240667
"2015-03-27",415,124.57,124.699997,122.910004,123.25,39546200,120.274569
"2015-03-30",416,124.050003,126.400002,124,126.370003,47099700,123.31925
"2015-03-31",417,126.089996,126.489998,124.360001,124.43,42090600,121.426082
"2015-04-01",418,124.82,125.120003,123.099998,124.25,40621400,121.250427
"2015-04-02",419,125.029999,125.559998,124.190002,125.32,32220100,122.294596
"2015-04-06",420,124.470001,127.510002,124.330002,127.349998,37194000,124.275587
"2015-04-07",421,127.639999,128.119995,125.980003,126.010002,35012300,122.96794
"2015-04-08",422,125.849998,126.400002,124.970001,125.599998,37329200,122.567835
"2015-04-09",423,125.849998,126.580002,124.660004,126.559998,32484000,123.504658
"2015-04-10",424,125.949997,127.209999,125.260002,127.099998,40188000,124.031623
"2015-04-13",425,128.369995,128.570007,126.610001,126.849998,36365100,123.787658
"2015-04-14",426,127,127.290001,125.910004,126.300003,25524600,123.25094
"2015-04-15",427,126.410004,127.129997,126.010002,126.779999,28970400,123.719348
"2015-04-16",428,126.279999,127.099998,126.110001,126.169998,28369000,123.124074
"2015-04-17",429,125.550003,126.139999,124.459999,124.75,51957000,121.738357
"2015-04-20",430,125.57,128.119995,125.169998,127.599998,47054300,124.519552
"2015-04-21",431,128.100006,128.199997,126.669998,126.910004,32435100,123.846215
"2015-04-22",432,126.989998,128.869995,126.32,128.619995,37654500,125.514924
"2015-04-23",433,128.300003,130.419998,128.139999,129.669998,45770900,126.539579
"2015-04-24",434,130.490005,130.630005,129.229996,130.279999,44525900,127.134853
"2015-04-27",435,132.309998,133.130005,131.149994,132.649994,96954200,129.447633
"2015-04-28",436,134.460007,134.539993,129.570007,130.559998,118924000,127.408092
"2015-04-29",437,130.160004,131.589996,128.300003,128.639999,63386100,125.534446
"2015-04-30",438,128.639999,128.639999,124.580002,125.150002,83195400,122.128701
"2015-05-01",439,126.099998,130.130005,125.300003,128.949997,58512600,125.83696
"2015-05-04",440,129.5,130.570007,128.259995,128.699997,50988300,125.592995
"2015-05-05",441,128.149994,128.449997,125.779999,125.800003,49271400,122.763011
"2015-05-06",442,126.559998,126.75,123.360001,125.010002,72141000,121.992082
"2015-05-07",443,124.769997,126.080002,124.019997,125.260002,43940900,122.746637
"2015-05-08",444,126.68,127.620003,126.110001,127.620003,55550400,125.059283
"2015-05-11",445,127.389999,127.559998,125.629997,126.32,42035800,123.785365
"2015-05-12",446,125.599998,126.879997,124.82,125.870003,48160000,123.344397
"2015-05-13",447,126.150002,127.190002,125.870003,126.010002,34694200,123.481588
"2015-05-14",448,127.410004,128.949997,127.160004,128.949997,45203500,126.362591
"2015-05-15",449,129.070007,129.490005,128.210007,128.770004,38208000,126.18621
"2015-05-18",450,128.380005,130.720001,128.360001,130.190002,50882900,127.577716
"2015-05-19",451,130.690002,130.880005,129.639999,130.070007,44633200,127.460128
"2015-05-20",452,130,130.979996,129.339996,130.059998,36454900,127.450319
"2015-05-21",453,130.070007,131.630005,129.830002,131.389999,39730400,128.753634
"2015-05-22",454,131.600006,132.970001,131.399994,132.539993,45596000,129.880553
"2015-05-26",455,132.600006,132.910004,129.119995,129.619995,70697600,127.019145
"2015-05-27",456,130.339996,132.259995,130.050003,132.039993,45833200,129.390586
"2015-05-28",457,131.860001,131.949997,131.100006,131.779999,30733300,129.135808
"2015-05-29",458,131.229996,131.449997,129.899994,130.279999,50884500,127.665906
"2015-06-01",459,130.279999,131.389999,130.050003,130.539993,32112800,127.920684
"2015-06-02",460,129.860001,130.660004,129.320007,129.960007,33667600,127.352335
"2015-06-03",461,130.660004,130.940002,129.899994,130.119995,30889400,127.509113
"2015-06-04",462,129.580002,130.580002,128.910004,129.360001,38450100,126.764368
"2015-06-05",463,129.5,129.690002,128.360001,128.649994,35626800,126.068608
"2015-06-08",464,128.899994,129.210007,126.830002,127.800003,52674800,125.235672
"2015-06-09",465,126.699997,128.080002,125.620003,127.419998,56075400,124.863292
"2015-06-10",466,127.919998,129.339996,127.849998,128.880005,39087300,126.294003
"2015-06-11",467,129.179993,130.179993,128.479996,128.589996,35390900,126.009814
"2015-06-12",468,128.190002,128.330002,127.110001,127.169998,36886200,124.618308
"2015-06-15",469,126.099998,127.239998,125.709999,126.919998,43988900,124.373324
"2015-06-16",470,127.029999,127.849998,126.370003,127.599998,31494100,125.03968
"2015-06-17",471,127.720001,127.879997,126.739998,127.300003,32918100,124.745705
"2015-06-18",472,127.230003,128.309998,127.220001,127.879997,35407200,125.314061
"2015-06-19",473,127.709999,127.82,126.400002,126.599998,54716900,124.059746
"2015-06-22",474,127.489998,128.059998,127.080002,127.610001,34039300,125.049482
"2015-06-23",475,127.480003,127.610001,126.879997,127.029999,30268900,124.481118
"2015-06-24",476,127.209999,129.800003,127.120003,128.110001,55280900,125.539449
"2015-06-25",477,128.860001,129.199997,127.5,127.5,31938100,124.941688
"2015-06-26",478,127.669998,127.989998,126.510002,126.75,44066800,124.206737
"2015-06-29",479,125.459999,126.470001,124.480003,124.529999,49161400,122.031281
"2015-06-30",480,125.57,126.120003,124.860001,125.43,44370700,122.913224
"2015-07-01",481,126.900002,126.940002,125.989998,126.599998,30238800,124.059746
"2015-07-02",482,126.43,126.690002,125.769997,126.440002,27211000,123.90296
"2015-07-06",483,124.940002,126.230003,124.849998,126,28060400,123.471786
"2015-07-07",484,125.889999,126.150002,123.769997,125.690002,46946800,123.168009
"2015-07-08",485,124.480003,124.639999,122.540001,122.57,60761600,120.11061
